id,age,income,educ,gender,vacc_b,treat,vacc_e,missing
1,37,9,2,1,3,1,3,0
2,84,4,2,1,3,2,2,0
3,18,7,3,1,1,2,2,0
4,69,5,1,1,5,2,5,0
5,84,1,2,0,3,1,4,0
6,21,6,2,1,5,0,5,0
7,21,4,2,0,3,1,3,0
8,69,8,2,0,1,2,1,0
9,57,9,3,1,4,1,5,0
10,75,6,3,0,5,2,5,0
11,26,2,3,0,1,2,1,0
12,65,7,3,0,4,0,5,0
13,32,1,3,1,1,1,2,0
14,39,9,3,1,5,2,5,0
15,16,5,2,0,5,2,5,0
16,65,4,2,0,1,1,1,0
17,82,1,2,1,4,0,4,0
18,82,5,2,0,1,2,1,0
19,66,7,3,0,1,1,2,0
20,62,9,3,1,5,1,NA,1
21,46,3,2,1,1,2,1,0
22,53,8,2,1,4,2,3,0
23,30,7,3,0,1,1,1,0
24,80,5,3,1,2,0,3,0
25,84,2,2,1,4,2,5,0
26,59,2,1,0,4,1,5,0
27,44,8,1,1,3,2,2,0
28,44,9,3,1,3,2,3,0
29,43,9,3,0,5,0,5,0
30,45,2,2,1,1,0,2,0
31,68,7,2,1,3,2,2,0
32,55,4,2,0,2,0,2,0
33,55,6,2,1,5,1,5,0
34,38,9,2,1,4,2,5,0
35,57,6,2,1,1,0,2,0
36,21,7,2,0,4,0,4,0
37,77,9,2,1,4,1,5,0
38,79,9,2,0,2,1,4,0
39,23,4,2,1,1,2,3,0
40,34,4,2,0,2,0,2,0
41,28,7,2,1,1,2,1,0
42,17,7,2,1,1,2,1,0
43,50,3,3,1,2,0,2,0
44,41,9,2,1,4,0,NA,1
45,60,2,1,0,3,1,NA,1
46,73,3,2,0,4,1,5,0
47,60,7,2,0,5,2,5,0
48,83,9,3,1,1,0,1,0
49,61,8,3,1,1,1,2,0
50,69,6,2,0,5,2,NA,1
51,61,6,3,1,3,1,NA,1
52,82,4,3,0,5,1,5,0
53,26,5,2,0,3,2,3,0
54,65,7,2,1,1,0,2,0
55,30,3,1,0,1,0,2,0
56,70,8,3,1,5,1,5,0
57,36,6,1,1,4,1,5,0
58,67,9,2,0,4,2,4,0
59,17,2,1,1,4,1,5,0
60,19,7,2,1,3,0,3,0
61,58,4,2,0,4,2,5,0
62,42,7,2,1,4,0,4,0
63,66,4,1,1,4,0,5,0
64,39,2,3,0,1,1,2,0
65,56,5,2,1,3,1,4,0
66,29,5,2,1,2,2,NA,1
67,71,4,2,0,1,0,1,0
